Qty,Parts,Value,MPN,Package,Device
1,J4,,,1X06_NO_SILK,CONN_06NO_SILK_NO_POP
1,R7,0,ERJ-3GEY0R00V,0603-MINI,RESISTOR0603MINI
1,C13,0.1uF,CL10B104KB8NNNC,0603-MINI-CAP,CAP_CERAMIC
5,"R2, R3, R19, R20, R21",100K,ERJ-PA3J104V,0603-MINI,RESISTOR0603MINI
1,C10,100uF,F930J107KAA,EIA3216-18/A-W,CAP_TANTALUMA/3216_WAVE
8,"R6, R9, R10, R11, R12, R13, R14, R15",10K,ERJ-PA3J103V,0603-MINI,RESISTOR0603MINI
4,"C1, C2, C4, C6",10uF,CL10A106MP8NNNC,0603-MINI-CAP,CAP_CERAMIC
1,R18,150 Ohm,ERJ-PA3J151V,0603-MINI,RESISTOR0603MINI
2,"R1, R5",1K,ERJ-PA3J102V,0603-MINI,RESISTOR0603MINI
4,"C3, C8, C9, C14",1uF,CL10A105KP8NNNC,0603-MINI-CAP,CAP_CERAMIC
1,C7,220pF,CL10C221JB8NNNC,0603-MINI-CAP,CAP_CERAMIC
2,"R16, R17",27k,,THUMBWHEEL,THUMBWHEEL
1,R4,470,ERJ-PA3J471V,0603-MINI,RESISTOR0603MINI
2,"R22, R24",5.1K,ERJ-PA3F5101V,0603-MINI,RESISTOR0603MINI
1,J5,503182-1852_503182-1852,5031821852,503182-1852_MOLEX_503182-1852,503182-1852_503182-1852
2,"X2, X3",53261-02,532614002,53261-02,53261-02
1,J1,AUDIO_JACK_3.5MM_KIT,SJ1-3525NG-GR,AUDIO-JACK-KIT,AUDIO_JACK_3.5MM_KIT
2,"SELECT, START",BUTTON_START+SELECT,,START+SELECT-STANDARD,BUTTON_START+SELECT
1,Q3,DMG3415U-7,DMG3415U-7,SOT23-R,MOSFET-P
1,U1,ESP32-WROVER,ESP32-WROVER (16MB),ESP32-WROVER_ESP32-WROVER,ESP32-WROVER
1,U$11,,541044531,,
1,LED2,LED_L-115WEGW-CA,SSL-LX3059IGW,LED_DUOLED-A-3MM,LED_L-115WEGW-CA
1,U6,LM4875,LM4875MX/NOPB,SOIC8,LM4875
1,D4,MBR120,MBR120LSFT1G,SOD-123,DIODE-SCHOTTKYSOD-123
1,U4,MCP73832T-2ACI/OT,MCP73832T-2ACI/OT,SOT23-5-1,MCP73831/2
1,S3,POWER-SWITCH,MA12RTR,RETIRED_KPS-1290,POWER-SWITCH
1,J6,USB4110-GF-A_REVB,USB4110-GF-A,GCT_USB4110-GF-A_REVB,USB4110-GF-A_REVB
1,U3,XC6210B332MR-G,XC6210B332MR-G,SOT23-5,AP2112-3.3
2,"Q4, Q5",mmbt2222,MMBT2222A-7-F,SOT23-3,TRANSISTOR_NPNSOT23-3